"Source","Uncomment","\, U","Editing XML Source","org.eclipse.jdt.ui.edit.text.java.uncomment"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.last"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Window","Maximize Active View or Editor","Space, W, M","In Windows","org.eclipse.ui.window.maximizePart"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.run"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.next.member"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus","org.eclipse.tm.terminal.copy"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows","org.eclipse.pde.ui.searchTargetRepositories"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.debugAction"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy"
"Edit","Context Information","Alt+Shift+?","In Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows","org.eclipse.wst.server.launchShortcut.debug"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor","org.eclipse.jst.pagedesigner.vertical"
"Navigate","Open Type Hierarchy","F4","In Windows","org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy"
"Source","Correct Indentation","Ctrl+I","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.indent"
"File","New","Alt+N","In Windows","org.eclipse.ui.newWizard"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows","org.eclipse.m2e.core.ui.command.openPom"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewPaste"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows","org.eclipse.emf.codegen.ecore.ui.Generate"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View","org.eclipse.wst.jsdt.debug.ui.breakpoint.properties"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles","org.eclipse.ant.ui.renameInFile"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.debug"
"Server","Publish","Ctrl+Alt+P","In Servers View","org.eclipse.wst.server.publish"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.format"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.subtask"
"Spy","Layout Spy","Ctrl+Alt+Shift+F9","In Dialogs and Windows","org.eclipse.tools.layout.spy.commands.layoutSpyCommand"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.extract.local.variable"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToNextUnread"
"Edit","Add Block Comment","\, C, Space","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.add.block.comment"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows","org.eclipse.eclemma.ui.junitRAPShortcut.coverage"
"Source","Uncomment","\, U","Editing Java Source","org.eclipse.wst.jsdt.ui.edit.text.java.uncomment"
"Source","Organize Imports","Ctrl+Shift+O","In Windows","org.eclipse.jdt.ui.edit.text.java.organize.imports"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows","org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples.tableschemaeditor.copycolumn"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows","org.eclipse.pde.ui.EquinoxLaunchShortcut.debug"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows","org.eclipse.jdt.ui.edit.text.java.open.external.javadoc"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows","org.eclipse.datatools.sqltools.result.terminate"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Show In (Package Explorer)","Space, W, P","In Windows","org.eclipse.ui.navigate.showIn"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.select.previous"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.organize.imports"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor","org.eclipse.ui.part.previousPage"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Edit","Remove Block Comment","\, Space, U","Editing Java Source","org.eclipse.wst.sse.ui.remove.block.comment"
"Search","References in Workspace","Ctrl+Shift+G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.external.javadoc"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Edit","Quick Fix","Space, F","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Navigate","Quick Outline","Space, W, O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.show.outline"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source","org.eclipse.m2e.core.ui.command.addDependency"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.previous"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.select.last"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"File","New (Package)","Space, N, P","In Windows","org.eclipse.ui.newWizard"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.open.hierarchy"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Run/Debug","Toggle Line Breakpoint","Space, D, A","Editing Text","org.eclipse.debug.ui.commands.ToggleLineBreakpoint"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Source","Toggle Comment","\, \","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.select.next"
"File","Save All","Ctrl+Shift+S","In Windows","org.eclipse.ui.file.saveAll"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source","org.eclipse.wst.jsdt.debug.ui.evaluate.command"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows","org.eclipse.pde.ui.EquinoxLaunchShortcut.run"
"Run/Debug","Step Into","Space, D, I","Debugging","org.eclipse.debug.ui.commands.StepInto"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Inspect"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.refactor.quickMenu"
"File","New (Class)","Space, N, C","In Windows","org.eclipse.ui.newWizard"
"Source","Add Block Comment","\, Space, \","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.block.comment"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.matching.bracket"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.declarations.in.workspace"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Context Information","Alt+?","In Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor","org.eclipse.jst.pagedesigner.design"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows","org.eclipse.m2e.profiles.ui.commands.selectMavenProfileCommand"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Go to Line","Space, G, L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows","org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus","org.eclipse.tm.terminal.maximize"
"Window","Next Editor","Ctrl+Tab","In Windows","org.eclipse.ui.window.nextEditor"
"Source","Remove Block Comment","\, Space, U","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Run/Debug","Run to Line","Space, D, L","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows","org.eclipse.eclemma.ui.junitPluginShortcut.coverage"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Window","Quick Switch Editor","Alt+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.ExecuteSQLAction"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View","org.eclipse.jdt.debug.ui.breakpoint.properties"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Run/Debug","Step Over","Space, D, O","Debugging","org.eclipse.debug.ui.commands.StepOver"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows","org.eclipse.pde.runtime.spy.commands.spyCommand"
"Run/Debug","EOF","Ctrl+Z","In I/O Console","org.eclipse.debug.ui.commands.eof"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source","org.eclipse.jdt.ui.navigate.java.open.structure"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows","org.eclipse.m2e.core.pomFileAction.run"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows","org.eclipse.ui.views.showView"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows","org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples.tableschemaeditor.cutcolumn"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows","org.eclipse.ui.views.showView"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows","org.eclipse.ui.views.showView"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Navigate","Activate Task","Ctrl+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.activateTask"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.navigate.java.open.structure"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.searchForTask"
"Source","Toggle Comment","\, \","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.DMLDialogSelectionAction"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows","org.eclipse.ant.ui.antShortcut.debug"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View","org.eclipse.wst.jsdt.ui.JavadocView"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows","org.eclipse.jdt.junit.junitShortcut.run"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"Source","Open Declaration","Space, G, S","Editing Ant Buildfiles","org.eclipse.ant.ui.open.declaration.command"
"Uncategorized","Copy Commit Id","Ctrl+C","In Git Reflog View","org.eclipse.egit.ui.internal.reflog.CopyCommand"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"Edit","Move","Alt+Shift+V","Editing JSP Source","org.eclipse.jst.jsp.ui.refactor.move"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows","org.eclipse.wst.xsl.debug.ui.launchshortcut.debug"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Navigate","Quick Outline","Ctrl+O","PDE editor","org.eclipse.pde.ui.quickOutline"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Run/Debug","Terminate","Space, T","Debugging","org.eclipse.debug.ui.commands.Terminate"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.surround.with.quickMenu"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.extract.method"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View","org.eclipse.buildship.ui.commands.refreshtaskview"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering","org.eclipse.debug.ui.command.gotoaddress"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"Server","Run","Ctrl+Alt+R","In Servers View","org.eclipse.wst.server.run"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor","org.eclipse.ui.part.previousPage"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source","org.eclipse.jdt.ui.edit.text.remove.occurrence.annotations"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows","org.eclipse.mylyn.context.ui.commands.interest.decrement"
